ticket_id,issue_category,priority,resolution_time,cost_per_hour,client_type,escalation_count,satisfaction_score,total_cost
31,Account/Access,Medium,,40.0,Small,0,4.63978932199606,128.84008460926987
32,Other,,2.794426835246078,40.0,Small,1,,261.7770734098431
33,Software,,4.59430467764152,60.0,Medium,0,3.560846635026424,275.6582806584912
34,Software,,4.355034717977637,60.0,Medium,0,4.110221787337145,261.30208307865826
35,Software,High,2.1148530238646632,40.0,Small,1,3.95571939699105,234.59412095458651
36,,Medium,,60.0,Medium,1,4.19927733306563,197.79682490054134
37,Hardware,Low,0.5274404106291606,40.0,Small,1,4.837538448645513,171.09761642516642
38,Software,Medium,0.5613152317416141,60.0,Medium,0,4.983873749416966,33.678913904496845
39,Software,,3.5138602783539485,40.0,Small,0,,140.55441113415793
40,Network,High,,40.0,Small,1,3.9432833459014653,397.6970055166811
41,Software,Medium,,40.0,Small,0,5.0,15.349371616836747
42,Account/Access,,,60.0,Medium,0,4.676967134891736,38.597947411533184
43,Account/Access,Low,2.266475007020911,40.0,Small,0,4.167557592853785,90.65900028083645
44,Software,Low,0.39563050005977596,40.0,Small,1,3.920890910700566,165.82522000239103
45,,Low,1.1895158473711138,90.0,Enterprise,0,,107.05642626340024
46,,Medium,,60.0,Medium,0,,16.273125982582137
47,Software,Medium,0.560135421561605,40.0,Small,0,,22.4054168624642
48,Software,,,90.0,Enterprise,0,4.669067380959091,100.12774695446139
49,,,,60.0,Medium,0,4.4652446694510415,165.09223600670214
50,,Medium,4.12080237581964,40.0,Small,0,4.60459450622414,164.8320950327856
51,Hardware,,2.1092569304368776,40.0,Small,0,4.30575156283184,84.3702772174751
52,Hardware,Medium,,40.0,Small,0,5.0,27.241445403628973
53,Account/Access,,0.3606419948892865,40.0,Small,2,4.869295620710115,314.42567979557145
54,Network,Critical,5.300352703429587,40.0,Small,1,3.273227737170533,362.0141081371835
55,Account/Access,High,,40.0,Small,0,5.0,10.0
56,Account/Access,Medium,0.9457298292760167,40.0,Small,0,4.380738443738564,37.829193171040664
57,Software,Critical,8.324382154115318,40.0,Small,1,3.057533698083972,482.9752861646127
58,Network,Medium,4.44412108092769,60.0,Medium,0,3.5987166779343984,266.64726485566143
59,Hardware,,1.842516206334064,60.0,Medium,0,4.867371435604414,110.55097238004385
60,Hardware,Low,1.5629849102642337,40.0,Small,0,4.705713950842045,62.51939641056935
61,,Critical,1.8532428092039683,40.0,Small,0,4.300532417220145,74.12971236815874
62,,,0.6282033340112261,40.0,Small,0,4.869206498768207,25.12813336044904
63,Network,High,7.141992664492994,40.0,Small,2,2.827148645707547,585.6797065797198
64,,High,1.1971199561235817,40.0,Small,1,,197.88479824494328
65,,Medium,1.145772141162416,40.0,Small,0,4.524340673708149,45.83088564649664
66,Network,High,6.286098084983041,40.0,Small,1,3.704792503161598,401.44392339932165
67,Network,,2.9048323669443192,90.0,Enterprise,0,4.463410158187335,261.43491302498876
68,Software,Medium,2.5234624409562274,90.0,Enterprise,0,4.012767119732599,227.11161968606046
69,,High,5.381628687798442,90.0,Enterprise,0,3.709541796910863,484.3465819018598
70,Software,Low,1.9022251096708644,40.0,Small,0,4.4440745674552184,76.08900438683457
71,Software,Medium,1.3448192303664739,40.0,Small,0,5.0,53.792769214658954
72,Software,Medium,,60.0,Medium,0,4.68378126845294,131.4657104100299
73,Account/Access,Medium,,40.0,Small,0,4.211611792703845,132.07621102657777
74,Software,Critical,4.7556513823887645,40.0,Small,3,4.0192860391731235,640.2260552955506
75,Hardware,,3.5949137431396605,60.0,Medium,0,4.840423862092123,215.69482458837962
76,Software,Medium,1.3493056049732342,90.0,Enterprise,0,4.756505717485257,121.43750444759107
77,Software,Medium,0.6328977205674534,60.0,Medium,0,5.0,37.97386323404721
78,Network,,5.647711560897679,40.0,Small,0,4.179510668398906,225.90846243590715
79,Network,Low,1.4925087142318498,40.0,Small,1,4.710239985277952,209.70034856927398
80,Account/Access,Medium,,40.0,Small,0,4.522375176550596,54.23762713260924
81,Network,Low,1.649895035664286,60.0,Medium,0,3.7202505528619856,98.99370213985716
82,Software,Medium,,40.0,Small,0,4.2245712450893045,55.001094690714226
83,Account/Access,Medium,1.1429664153998675,40.0,Small,0,5.0,45.7186566159947
84,Hardware,Medium,2.8727150791233855,90.0,Enterprise,1,4.274204186048829,408.5443571211047
85,Hardware,Low,1.7320409326252637,60.0,Medium,1,4.337619539154273,253.9224559575158
86,,,2.7212896898094106,60.0,Medium,1,4.277390655429349,313.27738138856466
87,Account/Access,Medium,0.25,40.0,Small,0,,10.0
88,,Low,0.8144333549778925,40.0,Small,1,4.427046233252077,182.57733419911568
89,Hardware,,4.294394638248772,60.0,Medium,0,4.336927807878507,257.6636782949263
90,Network,Medium,2.141911377120891,90.0,Enterprise,1,4.823447954812854,342.7720239408802
91,Hardware,Medium,0.8072331807710224,40.0,Small,0,,32.2893272308409
92,Network,Low,2.4248250882087006,40.0,Small,0,4.275044424423877,96.99300352834803
93,Software,High,4.628059982164312,40.0,Small,0,3.9128850523145613,185.1223992865725
94,Software,Medium,1.8366685848562025,40.0,Small,0,,73.4667433942481
95,,,,40.0,Small,0,4.286468905524146,73.72151422620266
96,Network,Critical,16.893623981393674,60.0,Medium,2,1.0,1313.6174388836205
97,Software,,0.7348466339371653,40.0,Small,1,5.0,179.39386535748662
98,Hardware,High,1.5385350439184349,40.0,Small,0,4.82693430030674,61.54140175673739
99,Hardware,,0.8976397772817556,40.0,Small,0,,35.905591091270225
100,Other,,0.25,40.0,Small,0,5.0,10.0
101,,High,2.939747641303061,60.0,Medium,0,,176.38485847818367
102,Network,Critical,,40.0,Small,0,2.9920880512162666,420.80236814092575
103,Software,Medium,2.897307190522602,40.0,Small,0,3.620580510987227,115.89228762090409
104,,Medium,2.061355529260832,60.0,Medium,1,4.703068940666847,273.6813317556499
105,Account/Access,Critical,2.1253942638196874,40.0,Small,0,4.180260902637446,85.0157705527875
106,Account/Access,Critical,,60.0,Medium,0,3.4074515232903333,294.20022298351194
107,Software,High,0.6548370948913026,90.0,Enterprise,0,5.0,58.93533854021723
108,Software,Medium,4.793773078741714,40.0,Small,1,3.6124679843043963,341.75092314966855
109,,Medium,0.32318840737051935,60.0,Medium,0,5.0,19.39130444223116
110,Other,Medium,1.4381753595665387,40.0,Small,0,,57.52701438266155
111,,,1.4541532020849077,40.0,Small,0,,58.16612808339631
112,Software,Low,1.930200072348293,40.0,Small,0,5.0,77.20800289393172
113,Software,Low,,60.0,Medium,0,5.0,103.50897472687264
114,Network,,0.8410798566736303,40.0,Small,0,4.5500848980949,33.64319426694521
115,Hardware,Medium,1.9630176832372301,40.0,Small,1,4.163911200419154,228.5207073294892
116,Account/Access,High,2.55522920825965,60.0,Medium,0,4.200794941752121,153.31375249557902
117,Account/Access,,2.7940149352326875,60.0,Medium,0,,167.64089611396125
118,Account/Access,Medium,,90.0,Enterprise,0,,22.5
119,,Medium,1.4479967441805948,90.0,Enterprise,1,4.558664167095601,280.31970697625354
120,Network,Low,1.3610713240281829,40.0,Small,0,5.0,54.442852961127315
121,Network,Medium,7.748588701544396,90.0,Enterprise,1,3.5390671863343663,847.3729831389957
122,Network,,2.9183772791403872,90.0,Enterprise,0,,262.65395512263484
123,Hardware,,0.9911693173029014,60.0,Medium,0,5.0,59.47015903817408
124,Software,,0.25,40.0,Small,0,4.9556758279469415,10.0
125,Hardware,Low,0.986685704239706,60.0,Medium,1,4.499039295344356,209.20114225438238
126,Software,,4.978930471010675,60.0,Medium,0,4.1076834289131074,298.7358282606405
127,Software,High,8.050139245346168,60.0,Medium,0,2.591513805690842,483.00835472077006
128,,High,0.2618048928478547,40.0,Small,0,4.170103657845254,10.472195713914187
129,Hardware,Low,1.9463921287215067,40.0,Small,0,4.905529293427945,77.85568514886026
130,,,3.200414414901918,60.0,Medium,1,3.9394439053609447,342.02486489411507
131,Hardware,Low,2.1968570532711795,40.0,Small,0,4.928595805639103,87.87428213084718
132,Other,Low,2.7231681211448833,60.0,Medium,0,,163.390087268693
133,Network,Medium,,40.0,Small,0,4.340906737865958,209.35321051653938
134,Software,,1.0351652442432806,40.0,Small,0,5.0,41.406609769731226
135,Network,Medium,,60.0,Medium,0,4.32539528593446,112.87106237405261
136,,Medium,,60.0,Medium,0,5.0,57.27229083648906
137,Other,Medium,3.4722230366396225,90.0,Enterprise,1,3.839834805691764,462.500073297566
138,Software,Critical,3.456283845136425,40.0,Small,0,,138.251353805457
139,Account/Access,High,3.73397519436797,40.0,Small,0,4.353854412710067,149.3590077747188
140,Hardware,Medium,0.3387624775511148,40.0,Small,0,5.0,13.550499102044594
141,Software,High,3.3992763010111644,60.0,Medium,0,4.717762473692041,203.95657806066987
142,Software,Low,0.8920837699746628,60.0,Medium,0,,53.525026198479765
143,Other,Medium,2.9529753609104232,90.0,Enterprise,0,4.410332078888806,265.76778248193807
144,Network,Low,,40.0,Small,1,4.022941102071042,276.2789132284921
145,Software,Medium,0.7382015282054906,40.0,Small,0,4.5975637226030885,29.528061128219623
146,Software,Medium,0.6079543011767506,60.0,Medium,0,4.47733142165326,36.47725807060504
147,Software,High,1.5822758372525576,40.0,Small,0,4.759894186016158,63.29103349010231
148,,Critical,4.0595360866117876,60.0,Medium,1,3.8119447394048542,393.57216519670726
149,Software,,,60.0,Medium,1,3.65626002130133,539.5397061025708
150,Hardware,High,4.141844582038421,60.0,Medium,1,4.500315800405309,398.51067492230527
151,Account/Access,Low,2.0356518412979274,40.0,Small,0,4.532786615356903,81.4260736519171
152,Account/Access,High,,60.0,Medium,1,4.117839753398319,257.5655284210329
153,Hardware,Medium,2.3701536653245676,60.0,Medium,1,5.0,292.2092199194741
154,Network,Medium,,40.0,Small,1,4.375314353110437,219.7235895391418
155,Hardware,,2.78882461473246,40.0,Small,0,4.456594955402832,111.5529845892984
156,Network,,3.3123278848591933,90.0,Enterprise,1,4.3214666141674405,448.1095096373274
157,Software,,1.2668582083039857,40.0,Small,0,5.0,50.674328332159426
158,Network,,2.5718921717184373,90.0,Enterprise,0,4.88753097710246,231.47029545465935
159,Account/Access,Critical,4.1559112947228165,40.0,Small,0,4.572591094450519,166.23645178891266
160,Account/Access,High,,90.0,Enterprise,1,4.119860395797315,306.08216486602475
161,Hardware,Medium,,90.0,Enterprise,0,4.965248054795514,144.32678309525505
162,,,2.7660447348194888,60.0,Medium,0,4.545955275584132,165.96268408916933
163,Software,,,40.0,Small,0,4.189826989574005,116.6726601182056
164,Hardware,Low,2.0584297983505184,40.0,Small,0,4.8125190454947715,82.33719193402074
165,Network,Low,1.9182388812685482,60.0,Medium,1,4.54582835360295,265.0943328761129
166,Software,Low,1.761595179514444,40.0,Small,1,4.793392127070511,220.46380718057776
167,Account/Access,Low,2.411470224221672,40.0,Small,0,4.182511831598615,96.45880896886688
168,Account/Access,High,2.938109955105705,60.0,Medium,0,4.521035691070727,176.28659730634232
169,Software,Low,1.7728280383430333,40.0,Small,0,4.128654593036196,70.91312153372132
170,Other,High,,40.0,Small,0,3.0012422787848965,421.90429854564854
171,Software,Low,,40.0,Small,0,4.59555390020087,56.1227448305813
172,Network,Critical,5.1544714044033855,60.0,Medium,1,3.692968716593647,459.26828426420315
173,,Medium,8.763781081061985,40.0,Small,0,,350.5512432424794
174,Other,,0.33673417954723167,60.0,Medium,0,5.0,20.2040507728339
175,Hardware,,0.765081014987492,60.0,Medium,1,4.622854116495736,195.9048608992495
176,Hardware,Low,1.6216165883827602,40.0,Small,0,3.9394027037079473,64.86466353531041
177,Software,,2.9710083705469668,60.0,Medium,0,4.85496098801806,178.260502232818
178,Other,High,3.204569107260238,60.0,Medium,0,,192.27414643561426
179,Account/Access,Low,,90.0,Enterprise,0,5.0,88.33259155208152
180,,Medium,1.7733893770063525,60.0,Medium,1,4.267770176419687,256.40336262038113
181,,,2.5966556721550687,90.0,Enterprise,0,3.860969837798466,233.69901049395617
182,Account/Access,Medium,0.5997056248217405,40.0,Small,0,4.7361164253859735,23.98822499286962
183,,,6.389509977916824,40.0,Small,0,3.5682401089905103,255.58039911667296
184,,Low,2.209782826174969,60.0,Medium,0,,132.58696957049813
185,Account/Access,High,1.5946415756953618,40.0,Small,0,4.598338163539217,63.78566302781447
186,Network,Medium,5.111858064528928,40.0,Small,0,4.0971237765060815,204.4743225811571
187,,Low,,60.0,Medium,0,4.862780214390707,75.77394049095217
188,Hardware,High,,90.0,Enterprise,3,4.037471391559017,731.3868173707431
189,Account/Access,Medium,1.3811454394255027,90.0,Enterprise,0,4.082235568460992,124.30308954829525
190,,Low,0.652045945482789,40.0,Small,0,3.9971456992413517,26.081837819311563
191,Other,High,4.722098126266831,40.0,Small,0,,188.8839250506732
192,Software,Critical,1.936283415064188,60.0,Medium,0,4.192025960320995,116.17700490385128
193,Hardware,,2.101851497560416,90.0,Enterprise,0,4.782795382937578,189.16663478043742
194,Account/Access,High,0.3188349933425931,40.0,Small,0,5.0,12.753399733703723
195,Hardware,High,2.4648971964300777,60.0,Medium,0,4.563098992124802,147.89383178580465
196,Hardware,Critical,,40.0,Small,0,4.894907719698471,123.8812250823289
197,Network,Low,,40.0,Small,0,4.917751435774121,28.9546360684787
198,Account/Access,Medium,2.9946742051138617,40.0,Small,0,4.181237717061104,119.78696820455447
199,Hardware,,4.535536493733417,40.0,Small,1,3.6970465236172565,331.4214597493367
200,Software,,,40.0,Small,0,,78.83942239945407
201,Account/Access,Medium,2.3393596575568623,60.0,Medium,0,4.931395052913082,140.36157945341174
202,Other,,1.4513326176495707,60.0,Medium,0,4.354058957895889,87.07995705897424
203,Network,High,4.696550337391161,90.0,Enterprise,0,4.593560500699764,422.68953036520446
204,Hardware,High,2.846992225089205,60.0,Medium,1,4.15902661212728,320.8195335053523
205,Hardware,Low,1.2352658287093445,60.0,Medium,0,4.670437513430727,74.11594972256067
206,Software,Medium,1.876771476137311,40.0,Small,0,4.526694209236258,75.07085904549244
207,,,2.771894328728958,40.0,Small,0,4.098097356577171,110.87577314915832
208,Network,Medium,1.317515501755501,40.0,Small,0,5.0,52.70062007022004
209,Hardware,High,2.406943701834845,40.0,Small,2,4.520406473942493,396.2777480733938
210,,Medium,8.848605938335147,90.0,Enterprise,0,2.6734338249384204,796.3745344501633
211,Network,Medium,3.3790721524613483,40.0,Small,1,4.549157666948279,285.1628860984539
212,Network,,1.6418189989993035,40.0,Small,2,4.729983687078999,365.67275995997215
213,,High,2.2479082860834336,40.0,Small,0,,89.91633144333734
214,,High,3.538731736169406,40.0,Small,2,3.7084196172070962,441.54926944677624
215,Account/Access,High,1.812174773177166,60.0,Medium,1,4.768234852981044,258.73048639062995
216,Account/Access,Low,1.2018266898915866,40.0,Small,1,,198.07306759566347
217,,,0.661582742680173,60.0,Medium,0,5.0,39.694964560810384
218,Hardware,,4.53993473323407,40.0,Small,0,,181.59738932936278
219,,Critical,3.0220060189142046,40.0,Small,1,,270.8802407565682
220,Software,,6.561369241123125,40.0,Small,0,3.9931212944005523,262.454769644925
221,Software,Low,,40.0,Small,0,,37.695518930616046
222,,,4.2819521076842,90.0,Enterprise,0,4.298390402704559,385.375689691578
223,Network,Medium,1.019044598084522,90.0,Enterprise,0,4.832914695472904,91.71401382760698
224,Other,Medium,1.4064139957795503,40.0,Small,1,4.124298580942935,206.25655983118202
225,Software,High,,90.0,Enterprise,1,4.659434792645889,199.07497104355662
226,Other,Low,,90.0,Enterprise,0,5.0,79.93014866285091
227,,,,40.0,Small,0,4.453485740299576,74.63547462209762
228,Network,Medium,,40.0,Small,0,3.8233880208264654,118.15212427650117
229,,Medium,2.0119153728530548,40.0,Small,1,4.024465852224236,230.4766149141222
230,Hardware,High,0.9644738166742738,90.0,Enterprise,1,5.0,236.80264350068464
231,Hardware,Medium,0.8455114012849632,90.0,Enterprise,2,4.4684515685128074,376.0960261156467
232,Software,Medium,2.2345892467726522,60.0,Medium,0,,134.07535480635914
233,,High,1.9116257847259632,60.0,Medium,0,5.0,114.6975470835578
234,Network,Low,3.5299190315061084,40.0,Small,1,4.205155781723073,291.19676126024433
235,Other,Medium,2.0271553073496187,60.0,Medium,0,4.497402513902138,121.62931844097712
236,Account/Access,,1.442473587390845,90.0,Enterprise,1,3.996510211918301,279.8226228651761
237,,High,0.454177070525313,40.0,Small,0,4.686795701040737,18.16708282101252
238,Account/Access,Low,,90.0,Enterprise,0,3.974749631247995,210.68720725433946
239,Hardware,Low,2.621220894686264,40.0,Small,1,4.370269604724597,254.84883578745055
240,Hardware,Low,5.516174412163221,60.0,Medium,2,,630.9704647297933
241,Account/Access,High,3.2159904199532026,90.0,Enterprise,1,,439.4391377957882
242,Account/Access,Medium,,40.0,Small,0,4.980758756906844,65.19823274579437
243,,Critical,4.5523859603337415,90.0,Enterprise,0,4.5571680316860625,409.71473643003674
244,Network,High,2.928535605677573,60.0,Medium,1,4.633421657554401,325.7121363406544
245,Network,High,0.7567117431345421,60.0,Medium,1,4.900739116598793,195.40270458807254
246,Account/Access,High,,90.0,Enterprise,0,3.750752392127865,526.1883830304138
247,,Low,4.029862224522419,90.0,Enterprise,0,4.266280732685752,362.6876002070177
248,,,0.2746667728422322,60.0,Medium,0,5.0,16.480006370533932
249,Software,Medium,0.7279496296500334,90.0,Enterprise,0,4.823101897809828,65.51546666850301
250,,Low,,40.0,Small,0,3.5212878307196496,207.05757710911513
251,Network,Medium,6.640588975663229,40.0,Small,0,,265.62355902652916
252,Account/Access,Low,2.277650699731322,40.0,Small,0,4.266118070068254,91.10602798925288
253,Software,,1.2103511820984934,40.0,Small,1,4.890226014870134,198.41404728393974
254,Software,Medium,1.1253799085468477,90.0,Enterprise,0,4.834867314347613,101.28419176921629
255,,Medium,0.5166727807628667,60.0,Medium,0,5.0,31.000366845772003
256,Account/Access,Medium,0.4778002009609291,40.0,Small,0,5.0,19.112008038437164
257,,,1.9556010134412376,40.0,Small,1,3.9900729003207775,228.2240405376495
258,Hardware,High,4.165764484630708,40.0,Small,0,3.8850099528817403,166.63057938522832
259,Hardware,High,3.5228415036942606,40.0,Small,1,4.287299363629234,290.91366014777043
260,,Medium,4.4703371294765155,60.0,Medium,1,4.010354098269393,418.2202277685909
261,Hardware,Medium,2.771459611723251,60.0,Medium,0,4.532254595692177,166.28757670339505
262,,Medium,,40.0,Small,0,4.5850445028182,10.636097712654076
263,Software,Medium,,40.0,Small,0,4.804262157629101,53.586155635268156
264,Hardware,High,0.4582775056215468,40.0,Small,0,4.921982166999463,18.33110022486187
265,,Medium,1.5844931876693145,40.0,Small,0,,63.37972750677258
266,Hardware,Medium,0.3395052719109973,90.0,Enterprise,0,4.80826885536197,30.555474471989754
267,,Low,2.7162092064392986,60.0,Medium,0,,162.9725523863579
268,Hardware,Critical,7.642144799467145,90.0,Enterprise,0,3.052433837335017,687.7930319520431
269,Hardware,,1.5209317997660736,40.0,Small,1,5.0,210.83727199064293
270,Hardware,Medium,,90.0,Enterprise,0,5.0,196.98502855574418
271,Hardware,High,,40.0,Small,1,4.58677229279566,190.58108033278896
272,Hardware,High,3.0025115732551155,40.0,Small,0,4.4599308009943694,120.10046293020463
273,,Low,0.6631017439042459,40.0,Small,0,4.673707249343366,26.524069756169837
274,Network,Critical,,40.0,Small,0,4.1995285986683095,207.57343683773945
275,,,5.32160843290782,40.0,Small,0,4.293148739824713,212.8643373163128
276,Software,,4.060355847833864,40.0,Small,0,4.140230257958496,162.41423391335456
277,Software,Critical,9.186254003366601,40.0,Small,0,3.1581150759005583,367.45016013466403
278,Network,Low,8.217959152320535,40.0,Small,0,3.506321016822257,328.7183660928214
279,Account/Access,,0.43243113882179496,40.0,Small,0,5.0,17.2972455528718
280,,,2.7322497441491596,40.0,Small,1,4.677950007622091,259.28998976596637
281,,Critical,,60.0,Medium,0,4.089717848332293,203.3905780407339
282,Hardware,,4.420643107086505,90.0,Enterprise,0,,397.85787963778546
283,Software,High,0.7198843114526948,60.0,Medium,0,4.3874194024171675,43.19305868716169
284,Software,Medium,2.196690123452235,60.0,Medium,0,,131.8014074071341
285,Network,Critical,10.497700210684766,40.0,Small,1,2.8910494582066355,569.9080084273907
286,,Low,1.6952629706327116,60.0,Medium,0,4.680713608783738,101.7157782379627
287,Hardware,Low,,40.0,Small,0,5.0,29.88464698348817
288,Software,,1.0186055631400848,40.0,Small,0,4.929702857840173,40.74422252560339
289,Network,Medium,3.414415433646421,40.0,Small,0,4.437284618048269,136.57661734585685
290,Hardware,Low,,40.0,Small,0,4.313281044108399,44.6143696334999
291,,,1.1440363845013448,40.0,Small,0,4.411938370079646,45.76145538005379
292,Hardware,Medium,1.874067783252723,40.0,Small,0,3.9491528286305866,74.96271133010892
293,,Medium,0.592720497339467,60.0,Medium,0,4.830021037132112,35.56322984036802
294,Hardware,Low,3.0871534996878642,40.0,Small,0,4.3721486106813785,123.48613998751458
295,Account/Access,Low,0.6469799093884376,40.0,Small,0,,25.879196375537504
296,Other,Low,1.1944220978533675,40.0,Small,0,,47.7768839141347
297,Other,Low,5.49674023224081,40.0,Small,1,4.37484656161294,369.8696092896324
298,Account/Access,Medium,1.8135674073871701,40.0,Small,1,,222.5426962954868
299,Account/Access,Medium,2.2326927150581275,90.0,Enterprise,0,,200.94234435523148
300,Network,,1.7017907514596764,40.0,Small,0,4.722630913223993,68.07163005838706
301,,Medium,1.8315386786255843,60.0,Medium,0,4.081427510313335,109.89232071753506
302,Hardware,Medium,1.8927714978411514,60.0,Medium,1,,263.56628987046906
303,Network,Medium,,40.0,Small,0,4.254522044062342,81.44494693936437
304,Network,Low,0.4306797374697115,60.0,Medium,0,4.997588598496552,25.84078424818269
305,Account/Access,Low,0.9982042234357824,60.0,Medium,0,5.0,59.89225340614694
306,Software,,1.6361332307695624,40.0,Small,1,,215.44532923078248
307,Software,Medium,2.6904090018909357,40.0,Small,0,5.0,107.61636007563743
308,Network,High,6.82048181710913,60.0,Medium,0,3.6127824975054206,409.2289090265478
309,Software,Medium,3.2438287438283933,40.0,Small,0,4.01370692498478,129.75314975313574
310,Hardware,Medium,4.030632784707447,60.0,Medium,0,4.456888648762456,241.83796708244682
311,Software,Critical,,90.0,Enterprise,0,3.2890191982963106,567.9138122564984
312,Software,Low,,90.0,Enterprise,0,5.0,288.6101342094665
313,Software,High,0.8666534143657912,40.0,Small,0,4.395151742893884,34.66613657463165
314,Software,Medium,1.0725728529025245,60.0,Medium,0,5.0,64.35437117415147
315,,High,5.619505554478212,40.0,Small,1,3.911690164331194,374.7802221791285
316,Software,High,1.5291283298275031,40.0,Small,0,5.0,61.165133193100125
317,Software,Medium,,60.0,Medium,1,3.634119326386444,424.66938122771865
318,Network,Low,2.015639045387019,90.0,Enterprise,0,5.0,181.40751408483172
319,Software,,,60.0,Medium,0,,137.91096589051205
320,Other,High,2.277767803255321,60.0,Medium,1,,286.6660681953192
321,,Low,0.8827579937458147,60.0,Medium,2,3.60421094551627,352.96547962474887
322,Software,High,,40.0,Small,0,4.8354305209429755,137.56661279781414
323,Software,Medium,2.721778585350654,90.0,Enterprise,0,,244.96007268155887
324,Network,High,8.417308567016171,60.0,Medium,1,3.102160140776071,655.0385140209703
325,,Medium,0.30081415977598125,40.0,Small,0,4.838126856056676,12.03256639103925
326,Network,,2.8749245530156657,40.0,Small,0,,114.99698212062663
327,Account/Access,Low,0.9759313420715764,60.0,Medium,0,4.417923090554026,58.55588052429459
328,,Medium,2.1667588586477247,40.0,Small,1,4.210986903172402,236.670354345909
329,,Critical,1.2990712516441671,90.0,Enterprise,0,4.338739869438799,116.91641264797504
330,Software,,1.4697632517980774,60.0,Medium,0,4.6414404578759845,88.18579510788464
331,,Medium,1.0990249110289279,90.0,Enterprise,1,4.138038898924307,248.91224199260353
332,Software,High,,40.0,Small,0,4.591614649725245,56.21131285413466
333,Network,Medium,1.6379505404984556,60.0,Medium,0,4.456423995193001,98.27703242990734
334,,Medium,,40.0,Small,0,,24.051608953261994
335,Hardware,,1.005173431002749,40.0,Small,0,,40.20693724010996
336,Network,Medium,1.9296881324374147,60.0,Medium,0,,115.78128794624487
337,Hardware,Medium,0.25,60.0,Medium,0,,15.0
338,Account/Access,Critical,0.5697255188142393,60.0,Medium,1,5.0,184.18353112885436
339,Hardware,Medium,6.76155003959242,40.0,Small,0,4.209351259151643,270.4620015836968
340,Other,Medium,,40.0,Small,0,4.977929141288523,14.227168008035386
341,Hardware,Low,2.597632480265464,40.0,Small,0,4.592604462585833,103.90529921061855
342,,High,2.8019299834641567,40.0,Small,0,3.836061753295748,112.07719933856626
343,Account/Access,Critical,7.026445859735244,40.0,Small,1,3.4617638360815746,431.0578343894098
344,Network,,2.3811127469449107,60.0,Medium,1,4.6295004267480255,292.8667648166946
345,Account/Access,Medium,1.6272048645930461,60.0,Medium,1,4.922255277264619,247.63229187558278
346,Account/Access,,,40.0,Small,0,4.534881993801745,24.161284070259434
347,Other,Low,,60.0,Medium,2,4.709816525002635,329.67746687863564
348,Software,Critical,3.206599312086777,40.0,Small,0,4.614981923197717,128.2639724834711
349,Network,Low,5.4155638171197245,40.0,Small,0,4.053626442973987,216.62255268478899
350,Hardware,High,2.8318511282939225,60.0,Medium,0,4.140113921948216,169.91106769763536
351,Network,Medium,,40.0,Small,1,4.093074218211847,270.8214197313042
352,Hardware,,,40.0,Small,0,3.944186851176142,218.66093768946274
